"peakId","pvalue","correlation","adjCorrelation","adjPvalue"
"hg38:chr9:34256084-34256585",0.334374838228968,0.066641925221887,-2.65086908352925e-05,0.680014490314026
"hg38:chr9:70600479-70600980",0.334414894442511,0.0666312593520316,-3.7936408537525e-05,0.680014490314026
"hg38:chr10:43160526-43161027",0.334722058423478,0.0665495226615058,-0.000125511434100886,0.68037872926734
"hg38:chr14:65170644-65171145",0.335052019296327,0.0664618233325609,-0.000219475000827509,0.680793125732874
"hg38:chr20:41245392-41245893",0.335084342721196,0.0664532379508125,-0.00022867362412936,0.680799424180201
"hg38:chr1:204305940-204306441",0.335112342370908,0.0664458018323136,-0.000236640893949685,0.680799424180201
"hg38:chr12:53379288-53379789",0.335195429130908,0.0664237402755216,-0.00026027827622687,0.680799424180201
"hg38:chr19:42268027-42268528",0.335316692539551,0.0663915540745377,-0.000294763491566743,0.680858173793148
"hg38:chr10:92243098-92243599",0.33577388393069,0.0662703344647583,-0.000424641644901841,0.681296605827986
"hg38:chr14:23569812-23570313",0.335775448596199,0.0662699199619175,-0.000425085755088434,0.681296605827986
"hg38:chr1:204278967-204279468",0.335814684403753,0.0662595266057939,-0.000436221493792139,0.681296605827986
"hg38:chr12:24902412-24902913",0.336489076965945,0.0660811192261848,-0.000627372257659115,0.68193579602656
"hg38:chr19:45692281-45692782",0.336622937476587,0.0660457599456192,-0.000665257201122276,0.682103022103069
"hg38:chr11:46593782-46594283",0.33706455457979,0.0659292306535442,-0.00079011001405989,0.682334903649706
"hg38:chr2:50536311-50536812",0.337094572370617,0.0659213167711944,-0.000798589173720144,0.682334903649706
"hg38:chr6:110358794-110359295",0.337180809451004,0.065898586130026,-0.000822943432115043,0.682348764285455
"hg38:chr1:198935445-198935946",0.337275911930937,0.0658735271097527,-0.000849792382407889,0.682437263277211
"hg38:chr5:142982050-142982551",0.337575529578771,0.0657946368734292,-0.000934317635611585,0.68288748632392
"hg38:chr13:80010293-80010794",0.337683356217135,0.0657662671301636,-0.000964713789110512,0.683001605613052
"hg38:chr14:73742106-73742607",0.338002108952161,0.0656824676013173,-0.00105449899858872,0.683300385463063
"hg38:chr17:7307289-7307790",0.338011101890965,0.0656801048022156,-0.00105703056905474,0.683300385463063
"hg38:chr5:108168825-108169326",0.338140587565984,0.0656460925010125,-0.00109347232034366,0.683406151760279
"hg38:chr5:159918038-159918539",0.338240507597129,0.065619857372109,-0.00112158138702603,0.683439221865802
"hg38:chr16:74666723-74667224",0.338532109029548,0.0655433493499754,-0.00120355426788342,0.683722358772115
"hg38:chr1:150507795-150508296",0.338580114959717,0.0655307618215305,-0.00121704090550299,0.683722358772115
"hg38:chr10:101779808-101780309",0.338916914238397,0.065442512986583,-0.00131159322866105,0.683986647025758
"hg38:chr1:85578421-85578922",0.340192135884779,0.0651093661369062,-0.00166853628188621,0.684852229575743
"hg38:chr12:119686714-119687215",0.34027737998481,0.0650871520828809,-0.00169233705405615,0.684954390454065
"hg38:chr17:40068768-40069269",0.340723251637228,0.0649710741158351,-0.00181670630446236,0.685463866063505
"hg38:chr11:86244248-86244749",0.34145439947565,0.0647811382062284,-0.00202020906475533,0.685981243075126
"hg38:chr3:72100363-72100864",0.341616833978786,0.0647390104497402,-0.00206534594670686,0.686119421326141
"hg38:chr6:37172170-37172671",0.341698934971641,0.064717726913439,-0.00208814973560112,0.686141166393014
"hg38:chr15:45402100-45402601",0.341767451171333,0.0646999699473102,-0.00210717505645331,0.686141166393014
"hg38:chr7:70498566-70499067",0.341819346512719,0.0646865234848052,-0.00212158198056581,0.686141166393014
"hg38:chr6:87473532-87474033",0.34199725174292,0.0646404463419751,-0.00217095034788385,0.68624159667379
"hg38:chr1:66533289-66533790",0.342278343969348,0.0645677051279876,-0.00224888736287044,0.686650054433827
"hg38:chr10:18304352-18304853",0.342663525929516,0.0644681490247418,-0.00235555461634805,0.686803957048717
"hg38:chr12:26535893-26536394",0.343164599800294,0.0643388487408452,-0.00249409063480872,0.687352565510804
"hg38:chr12:125129102-125129603",0.343283097767343,0.0643083054033885,-0.00252681563922662,0.687352565510804
"hg38:chr4:151960839-151961340",0.343798768518469,0.0641755430978437,-0.00266906096659599,0.687508689829206
