"peakId","pvalue","correlation","adjCorrelation","adjPvalue"
"hg38:chr3:113745581-113746082",1.03827468300321e-05,0.761363948941861,0.744318516723423,0.0229882667105935
"hg38:chr4:26839413-26839914",2.06221168373989e-05,0.73729593590591,0.718531359899189,0.0321324078136125
"hg38:chr17:27968242-27968743",7.73975178566394e-05,0.684085990905555,0.661520704541666,0.071868124839879
"hg38:chr5:143405140-143405641",0.000130428193907791,0.660349746481334,0.636089014087143,0.0911400468667654
"hg38:chr15:74621785-74622286",0.000134894504558137,0.658760990805071,0.634386775862576,0.0911400468667654
"hg38:chr5:140557232-140557733",0.000136097719106831,0.658340791286725,0.63393656209292,0.0911400468667654
"hg38:chr11:70717821-70718322",0.000141875212039368,0.656366921295473,0.631821701388007,0.0911400468667654
"hg38:chr18:44700570-44701071",0.000165711301450939,0.648896852807999,0.623818056579998,0.0930479727385321
"hg38:chr2:39124173-39124674",0.000211085132750838,0.636946063709888,0.611013639689166,0.0930809559171375
"hg38:chr17:40536708-40537209",0.000212136602717378,0.636696685594633,0.610746448851393,0.0930809559171375
"hg38:chr1:178939635-178940136",0.000215199770882016,0.635976261874415,0.609974566294016,0.0930809559171375
"hg38:chr18:55338156-55338657",0.000217208749552581,0.635508593495477,0.609473493030868,0.0930809559171375
"hg38:chr2:37231390-37231891",0.000237839753937114,0.630911651651327,0.60454819819785,0.0943158869008235
"hg38:chr15:39586260-39586761",0.000274007500822315,0.623630003131516,0.596746431926624,0.099727469717097
"hg38:chr12:56333763-56334264",0.00030812101999755,0.617491277669147,0.590169226074086,0.103658626752927
"hg38:chr2:9972743-9973244",0.000326273795366961,0.614462159865837,0.586923742713397,0.104641551620704
"hg38:chr1:32984380-32984881",0.000347360568299694,0.611122278706308,0.583345298613902,0.106321974754294
"hg38:chr10:78688644-78689145",0.000364686433992148,0.608507607696638,0.580543865389255,0.106321974754294
"hg38:chr1:232620335-232620836",0.000418372396931858,0.601040731713685,0.572543641121805,0.108529284888992
"hg38:chr11:8192506-8193007",0.000454306638737459,0.596496469378112,0.567674788619405,0.114214830819804
"hg38:chr3:46976570-46977071",0.00048253086185728,0.593141776828122,0.564080475172988,0.114214830819804
"hg38:chr17:40175870-40176371",0.000536522324263649,0.587174796753867,0.557687282236286,0.120803912147126
"hg38:chr5:141747088-141747589",0.000621319479254694,0.578784358071854,0.548697526505558,0.12462639721412
"hg38:chr6:22146918-22147419",0.000649244799041565,0.576239614169027,0.5459710151811,0.125968009572979
"hg38:chr14:39614200-39614701",0.000654280752797287,0.575790898470908,0.545490248361687,0.125968009572979
"hg38:chr13:36674833-36675334",0.000694119466193466,0.572343639557264,0.541796756668497,0.128005023945014
"hg38:chr8:61023446-61023947",0.000735063465201766,0.56897615262633,0.538188734956782,0.128005023945014
"hg38:chr1:20187008-20187509",0.000748479402440928,0.567908324533094,0.537044633428315,0.128632200009041
"hg38:chr2:80303329-80303830",0.000754693509052632,0.567419369629971,0.536520753174969,0.128632200009041
"hg38:chr10:110211013-110211514",0.000768802799216755,0.56632210199164,0.535345109276757,0.128632200009041
"hg38:chr3:115381371-115381872",0.000837437435463977,0.561222869583305,0.529881645982113,0.131656066407351
"hg38:chr21:41141855-41142356",0.000881863727450225,0.558113531431948,0.526550212248515,0.134656536635776
"hg38:chr18:62662077-62662578",0.000964930483434131,0.552649949038483,0.520696373969803,0.138666308718845
"hg38:chr20:4949789-4950290",0.00101221598304095,0.549720927493285,0.517558136599948,0.138666308718845
"hg38:chr8:38996929-38997430",0.00102398790351726,0.549010360059923,0.516796814349918,0.138666308718845
